X-coordinate,Y-coordinate,Heading,Going to ID,Current segment,Battery cell voltage
-2.501749277114868,17.290912628173828,-0.4626731872558594,0,158.0,48691
-2.4640402793884277,17.273405075073242,-0.55475914478302,0,162.0,48691
-2.4313788414001465,17.24795913696289,-0.6552325487136841,0,162.0,48691
-2.3937089443206787,17.212575912475586,-0.806501030921936,0,162.0,48691
-2.3748881816864014,17.18485450744629,-0.9079076647758484,0,162.0,48691
-2.3550424575805664,17.153812408447266,-1.0130994319915771,0,162.0,48656
-2.340984344482422,17.12094497680664,-1.1154292821884155,0,162.0,48691
-2.318636894226074,17.065404891967773,-1.2591273784637451,0,162.0,48691
-2.3050615787506104,17.02484893798828,-1.3493520021438599,0,162.0,48687
-2.2941906452178955,16.98297882080078,-1.4286702871322632,0,162.0,48691
-2.2848949432373047,16.910825729370117,-1.5356559753417969,0,162.0,48621
-2.2821223735809326,16.82137107849121,-1.588211178779602,0,256.0,48604
-2.2768025398254395,16.70148277282715,-1.5632708072662354,0,256.0,48551
-2.2736828327178955,16.572532653808594,-1.5351730585098267,0,256.0,48551
-2.2588768005371094,16.378311157226562,-1.528245210647583,0,256.0,48621
-2.256720542907715,16.2437686920166,-1.528660774230957,0,256.0,48586
-2.251284122467041,16.115314483642578,-1.5317161083221436,0,256.0,48621
-2.2483761310577393,15.911044120788574,-1.533263087272644,0,256.0,48604
-2.247199535369873,15.78184700012207,-1.5324121713638306,0,256.0,48621
-2.2416269779205322,15.647512435913086,-1.5318320989608765,0,256.0,48563
-2.2351691722869873,15.521135330200195,-1.5333404541015625,0,256.0,48621
-2.2299559116363525,15.31918716430664,-1.535003423690796,0,256.0,48617
-2.225174903869629,15.188627243041992,-1.5356996059417725,0,256.0,48553
-2.2177083492279053,15.052306175231934,-1.5382908582687378,0,256.0,48586
-2.2089455127716064,14.856555938720703,-1.543473243713379,0,256.0,48551
-2.205212116241455,14.722710609436035,-1.5457937717437744,0,256.0,48621
-2.20432186126709,14.588515281677246,-1.547070026397705,0,256.0,48586
-2.2010977268218994,14.460573196411133,-1.5464125871658325,0,256.0,48621
-2.198580503463745,14.264816284179688,-1.5450975894927979,0,256.0,48551
-2.192249059677124,14.12801456451416,-1.5450202226638794,0,256.0,48621
-2.186307430267334,14.000457763671875,-1.547070026397705,0,252.0,48551
-2.181483268737793,13.795988082885742,-1.5492358207702637,0,252.0,48559
-2.176008939743042,13.665246963500977,-1.549545168876648,0,252.0,48551
-2.173107147216797,13.532303810119629,-1.5514016151428223,0,252.0,48687
-2.171612024307251,13.446051597595215,-1.5577056407928467,0,252.0,48691
-2.1737115383148193,13.354415893554688,-1.5767723321914673,0,252.0,48691
-2.1784117221832275,13.29321002960205,-1.5915461778640747,0,252.0,48691
-2.1764845848083496,13.230761528015137,-1.6117057800292969,0,252.0,48637
-2.184272050857544,13.142163276672363,-1.6453677415847778,0,252.0,48691
-2.185845375061035,13.077958106994629,-1.6714059114456177,0,252.0,48691
-2.195080041885376,13.02435302734375,-1.69801926612854,0,252.0,48621
-2.2039387226104736,12.965641975402832,-1.733344316482544,0,252.0,48687
-2.221086025238037,12.87999439239502,-1.7963318824768066,0,252.0,48621
-2.2304298877716064,12.827452659606934,-1.8450483083724976,0,252.0,48691
-2.2507002353668213,12.776957511901855,-1.9014562368392944,0,252.0,48621
-2.2786753177642822,12.711555480957031,-1.9894276857376099,0,252.0,48691
-2.2985455989837646,12.667364120483398,-2.052100896835327,0,252.0,48621
-2.3190131187438965,12.624567985534668,-2.1223256587982178,0,252.0,48691
-2.3462369441986084,12.584451675415039,-2.1867878437042236,0,252.0,48621
-2.3919405937194824,12.516593933105469,-2.264880418777466,0,252.0,48691
-2.430060386657715,12.472443580627441,-2.2782766819000244,0,252.0,48691
-2.466014862060547,12.42481803894043,-2.2491931915283203,0,252.0,48629
-2.4936132431030273,12.357011795043945,-2.1735451221466064,0,252.0,48691
-2.5281424522399902,12.270466804504395,-2.0365495681762695,0,252.0,48691
-2.5375466346740723,12.22331428527832,-1.9681485891342163,0,252.0,48621
-2.5724027156829834,12.155457496643066,-1.8715178966522217,0,252.0,48691
-2.5933616161346436,12.107271194458008,-1.8168463706970215,0,252.0,48621
-2.606854200363159,12.047332763671875,-1.7745628356933594,0,252.0,48637
-2.6193153858184814,11.959604263305664,-1.717106819152832,0,252.0,48621
-2.630129098892212,11.899895668029785,-1.6855361461639404,0,252.0,48637
-2.6341021060943604,11.837235450744629,-1.6568602323532104,0,252.0,48691
-2.642320156097412,11.800138473510742,-1.626771092414856,0,252.0,48621
-2.648024559020996,11.704586029052734,-1.6021639108657837,0,252.0,48691
-2.6482620239257812,11.646183013916016,-1.5872641801834106,0,252.0,48662
-2.6489710807800293,11.580545425415039,-1.5744965076446533,0,252.0,48691
